county,case,lat,lon
Fulton,184,33.8109499,-84.7310481
Cobb,86,33.9123906,-84.6972676
Bartow ,75,34.2440988,-84.985769
Dougherty,90,31.5429887,-84.3597205
DeKalb,94,33.7927093,-84.3270543
Gwinnett,45,33.9600231,-84.3181545
Cherokee,28,34.2428643,-84.5984981
Fayette,12,33.4036378,-84.6445108
Clarke,16,33.9441951,-83.5292082
Clayton,21,33.5005916,-84.4914783
Lee,20,31.7689938,-84.2706385
Richmond,11,33.3859619,-82.2310033
Carroll,26,33.5865758,-85.1703404
Lowndes,11,30.8276641,-83.5322856
Henry,13,33.4724802,-84.2785358
Floyd,11,34.2748096,-85.265634
Hall,14,34.3058696,-84.1192568
Coweta,10,33.3513219,-84.8962861
Newton,5,33.5556431,-84.0049802
Paulding,5,33.9286041,-85.0268587
Gordon,7,34.509082,-85.0184651
Forsyth,8,34.1927884,-84.2323435
Troup,6,33.0366656,-85.098747
Terrell,3,31.7941452,-84.5708394
Glynn,5,31.2215288,-81.7627215
Worth,4,31.5836698,-84.1213062
Polk,8,33.9998606,-85.3123828
Laurens,5,32.4312068,-83.2100234
Early,2,31.3765383,-84.9587256
Heard,1,33.2791778,-85.1161361
Oconee,5,33.8320577,-83.6015497
Turner,1,31.7097169,-83.7672869
Bibb,4,32.8066395,-83.8313174
Monroe,3,33.0254067,-84.0551818
Randolph,1,31.7751648,-84.8872959
Houston,3,32.4870656,-83.9498473
Rockdale,7,33.6558755,-84.1887723
Douglas,11,33.689703,-84.8846812
Dawson,1,34.4758874,-84.2918991
Muscogee,3,32.4740307,-84.9775752
Charlton,1,30.7152281,-82.4366806
Peach,3,32.5658912,-83.9996748
Spalding,5,33.2655664,-84.4391162
Barrow,1,34.0109181,-83.8433347
Effingham,2,32.3453413,-81.6139433
Miller,1,31.1636817,-84.869848
Whitfield,2,34.8017812,-85.1298821
Chatham,7,31.9710868,-81.351756
Columbia,4,33.5275606,-82.3756279
Tift,2,31.4620157,-83.6427911
Unknown,81,31.472484,-81.027239
Pickens,4,34.4435055,-84.4995419
Sumter,2,32.0771487,-84.2578416
Lamar,3,33.0504451,-84.1869511
Baldwin,2,33.0581947,-83.3767553
Lincoln,1,33.8105078,-82.5722137
Lumpkin,3,34.527836,-84.017919
Butts,2,33.2876561,-84.008061
Chattooga,1,34.4742654,-85.3830821
Twiggs,1,32.6867147,-83.3595676
Clinch,1,31.0413982,-82.770748
Coffee,2,31.5118862,-82.8942771
Tattnall,1,32.0655552,-82.2023614
Catoosa,1,34.9113369,-85.1771685
Madison,1,34.1279503,-83.2381266
Morgan,1,33.5806701,-83.5120246
Pierce,1,31.297628,-82.3323931
Washington,1,32.9842382,-82.8420655
Burke,1,33.0949232,-82.0493385
Harris,1,32.7873585,-84.9045071
Liberty,1,31.8747992,-81.64466
Walton,1,,
Stephens,1,,
Pulaski,1,,
Meriwether,1,,
Macon,1,,
Jasper,1,,
Irwin,1,,
Greene,1,,
Colquitt,1,,
Camden,1,,
Ben Hill,1,,
Crisp,2,,
Bryan,2,,
Baker,2,,
Mitchell,3,,
